ah	aa
driver	kexeeye
supply	keyd
economical	keydin leh
servant	khaaddin
absentminded	khaafsan
absentmindedness	khaafsanaan
traitor	khaa'in
treachery	khaa'innimo
disturbance	khaakhuul
table	khaanad
particularly	khaas ahaan
expertise	khaasiyo
ending	khaatimo
cheater	khaayin
notice	khabaar
notice	khabar
baker	khabbas
expert	khabiir
fortune	khadar
preacher	khaddiib
Kadija	Khadiija
Kadijo	Khadiijo
Khadra	Khadra
coop	khafas
pulley	khafiyad
cucumber	khajaar
vinegar	khal
finished	khalaas
error	khalad
create	khalaq
Calif	Khaliif
gulf	khaliij
bother	khalkhalgeli
confused	khalkhalsan
gamble	khamaar
ferment	khamiir
fermentation	khamiirin
gamble	khammaar
drunk	khamraysan
drunkard	khamriyacab
lesbian	khaniisad
pig	khansiir
break	kharaabi
spoiled	kharaabsan
expense	kharaj
expenditure	kharash
overexpenditure	kharashdhaafin
sabotage	kharbudaad
deserted	kharfo
map	khariiddo
sewingmachine	kharqaan
tailor	kharqaanle
cloth	kharqad
ruining	kharrib
safe	khasaanad
sugarcane	khasab
compel	khasab
ashamed	khasaysan
shipping	khashabad
bumpkin	khashiin
naivety	khashiinnimo
trash	khashin
disturbance	khashkhash
sad	khashuucsan
destroy	khasif
fine	khasiraad
trouble	khasiyad
offend	khasiyadee
safe	khasnad
treasurer	khasnaji
shame	khaso
deceive	khatal
endanger	khatargeli
finish	khatin
confuse	khawaysii
deceive	khayaamee
cheat	khayaan
cheating	khayaane
deceive	khayaanee
resources	khayraad
Khayre	Khayrre
bamboo	khaysaraan
goodness	kheer
experience	khibrad
experience	khibro
plan	khiddad
discord	khilaaf
disagree	khilaaf
caliphate	khilaafo
illusion	khiyaali
deceive	khiyaamee
cheating	khiyaamo
cheat	khiyaan
cheating	khiyaanad
cheat	khiyaanadee
deceiver	khiyaanadle
fraud	khiyaanadlow
fraud	khiyaane
cheating	khiyaano
dolphin	khoobar
fear	khoof
speech	khudbad
lecture	khudbee
concern	khusee
anarchist	khushiye
modesty	khushuuc
snore	khuuri
snore	khuuro
pride	kibir
modest	kibir la'
arrogant	kibirsan
bread	kibis
starter	kiciye
chopped	kidfan
kettle	kidhli
struggle	kifaax
kilogram	kiilo
kilogram	kiilogaraam
kilometer	kiilomitir
chemistry	kiimika
Kenya	Kiinya
bag	kiis
bag	kiisad
moneybelt	kiishad
customer	kiliyente
underarm	kilkil
prison	killaal
bread	kimis
pill	kiniini
clitoris	kintir
hireling	kiraale
rent	kiree
hire	kireyso
kettle	kirli
rent	kiro
bit	kis
clothes	kiswad
whoopingcough	kix
shrink	kog
sometimes	kolkol
when	kolma
suspend	kolmee
always	kol walba
conference	konferens
consulate	konsulaata
contraband	kontarabaan
fifty	konton
fiftieth	kontonaad
control	kontorool
shorten	koob
one	koob
cup	koob
shortening	koobid
twentyone	koob iyo labaatan
eleven	koobiyotoban
coat	koodh
nickname	koofaar
hat	koofi
hat	koofiyad
south	koofur
southeast	koofurbari
southwest	koofurgalbeed
praise	kool
pamper	kooli
pampering	koolkoolin
creation	koon
corner	koone
south	koonfur
southern	koonfureed
jacket	koor
saddle	koore
seasoning	koosaar
trot	koose
trot	koosee
first	koowaad
eleventh	koowiyotobnaad
waiting	korad
electricity	koranto
impatience	koranwaa
increasing	kordhin
above	kore
ascending	korid
guard	korjoog
rearguard	korjooge
stallion	korme
colonel	kornayl
growth	korniimo
exploitation	kornoolaansho
increment	korodh
whole	koronkor
electrification	korontofidin
transformer	korontoroge
electrician	korontoyaqaan
chrome	koroom
increase	koror
increment	koror
superiority	korreyn
commission	korsaar
lavatory	kortag
increase	korudhig
elevator	koruqaade
bus	koryeeri
first	kowaad
Christianity	Kristaanimo
you	ku
constipation	kubadhagaxow
ball	kubbad
football	kubbadda cagta
volleyball	kubbadda gacanta
basketball	kubbadda koleyga
traveler	kubkusiigaale
stomach	kubo
apply	ku dabaq
rubbish	kuddaafad
imitation	kuddayad
proclaim	ku dhawaaq
mix	ku dheeh
hitting	kudhufasho
hit	ku dhufo
multiplier	kudhufte
against	ku diran
leech	kudkude
parasitism	ku dul noolaad
appropriate	ku eg
trip	kuf
unbelievers	kufaar
waste	ku fataal
scribble	ku feegaar
atheist	kufri
rape	kufsasho
rape	kufso
block	ku gudub
predict	kuhaan
diviner	kuhaan
attack	ku habso
cause	ku halraro
force	ku ijbaar
even	ku iniifan
tyrannize	ku jawrfal
tyrannize	ku jowrfal
tease	ku kajan
compel	ku kallif
enjoy	ku kifaax
heat	kul
enjoy	ku lad
meet	kulan
symposium	kulan cilmi
gathered	kulansan
meeting	kulanti
heat	kulayl
thermometer	kulbeeg
thermometer	kulbeege
warmth	kuldiir
enjoy	ku led
heat	kuleel
own	ku leh
aligned	ku liilansan
directed	ku liishaaman
warmth	kuljiir
helmet	kullad
college	kulleejo
all	kulli
college	kulliyad
meeting	kulmis
squander	ku loofar
thermometer	kultirshe
hot	kulul
heat	kululaad
heat	kululaan
heat	kululaansho
who	kuma
thousandth	kumaad
alias	ku magacdheer
thousands	kumanaal
thousands	kumanyaal
temporary	ku meelgaar
thousand	kun
stress	ku nuuxnuuxso
attache	kuqaybsane
prove	ku qir
hill	kur
patella	kuraankur
seats	kuraas
chairs	kuraasi
lad	kuray
worried	kurbaysan
anxiety	kurbo
dress	kurdad
earrings	kureeddo
sphere	kuryo
concerning	ku saabsan
troublesome	ku salladan
rage	kushad
exploitation	kushaqaysiin
exploit	ku shaqayso
socalled	ku sheeg
replace	ku sin
contribute	ku tabarruc
concern	ku tacalluq
compel	ku tahbiib
decide	ku talaggal
consider	ku tiri
rumor	kutiri-kuteen
bless	ku tuf
Cuba	Kuuba
tower	kuud
laborer	kuuli
envy	kuuni
envy	kuuni
nearness	kuur
eavesdropping	kuurgal
fidget	kuurkuurso
lump	kuus
Kuwait	Kuweyt
mock	ku wiirso
friction	ku xoqid
one	la
lack	la'aansho
lack	la'aasho
curve	laab
chest	laab
folded	laaban
pencil	laabbis
heartburn	laabjeex
absentminded	laabla'
heartburn	laabqarrar
damp	laabqoyan
temptation	laabraac
greenery	laac
sportsman	laacib
kick	laad
kick	laad
nausea	laadadyo
waterchannel	laag
carelessness	laahinnimo
refugee	laaji
but	laakiin
dangle	laallaad
hanging	laallaadsan
bribe	laaluush
nap	laamaddood
asphalt	laami
vagina	laan
catapult	laan-cigaleed
nobility	laandheeri
crescent	laanqayr
intonation	laaq
stir	laaq
aggressive	laarri
silk	laas
permit	laasha basaare
necessarily	laasim
elastic	laastiko
neglect	laayac
neglected	laayacan
second	labaad
lieutenant	labaale
corporal	laba alifle
blessing	labaan
twenty	labaatan
twentieth	labaatanaad
udder	labac
hesitation	labaclul
hypocrite	labaggalle
twelve	laba iyo toban
returning	labakacle
double	labalaab
complicated	laban
double	labanlaab
hypocrite	labawejile
elope	la baxso
nausea	labballabbo
hermaphrodite	labeeb
hermaphroditism	labeebnimo
hermaphrodite	labeebshe
hermaphrodite	labeebyo
cream	labeen
milk	laben
mixing	labid
nausea	lablabbo
masculine	labood
bait	lacaaf
payment	lacagbixin
monetary	lacageed
cashier	lacaghaye
rich	lacag leh
Lago	Lacago
curse	lacanadee
weaken	laciifi
weak	laciifsan
curse	lacnad
cursed	lacnadeysan
nausea	ladaadyo
Ladan	Ladan
health	ladnaan
interrupt	ladqabee
deceit	ladqabo
bone	laf
dissection	lafagur
skeleton	lafallafo
invertebrates	lafdhabarla'
coccyx	lafdhumuq
spine	lafduud
scapula	lafgarab
skull	lafmadax
capital	lafo
surgery	lafogur
surgeon	lafogure
backbone	lafta duudka
noble	lafti
occur	laga hel
necessity	lagamamaarmaan
possessing	lahaansho
have	lahaw
pain	lahaw
prisoner	lahaye
have	lahow
comradeinarms	lajireen
fly	lal
throw	lali
shakiness	lalleemo
suspend	lalmi
surprise	lamafilaan
number	lambar
numbered	lambarsan
equal	lammid
number	lanbar
swallow	laq
help	la qabo
gagging	laqanyo
dividend	laqaybshe
interrupt	laqdabee
deceit	laqdabo
tactlessness	laqwi
added	laran
inform	la socodsii
taste	lasow
advisor	la taliye
ewe	lax
strength	laxaad
solder	laxaamad
soldered	laxaamadan
wasp	laxle
surprise	layaab
neglected	layacan
Liberia	Laybeeriya
neglecting	layicid
called	la yidhaahdo
semiliquid	layiig
viscosity	layiignimo
called	la yiraahdo
train	layli
exercise	laylis
nylon	layloon
trained	laylyan
killing	layn
breeze	layr
lick	leef
walk	leegleegso
adjust	le'ekaysii
night	leel
hardship	leelleel
swing	leexayso
wind	leexleexo
wrestler	legdame
wrestle	legdan
wrestling	legdan
say	leh
Leninism	Leniinisim
Leninism	Leniiniyad
Leila	Leyla
license	leysin
victory	lib
success	libaan
shark	libaax-badeed
win	libayso
thorn	libcas
disappear	libidh
victory	libin
mud	libiq
vanish	libir
vanished	libirsan
success	libkeen
entrails	lid
elegance	lifaaq
strap	liglig
shake	liglig
property	lihi
capability	lihiin
success	liibaan
Liban	Liibaan
successful	liibaan leh
swing	liicliic
bent	liicsan
gagging	liidaanyo
humiliation	liidniin
contemptibleness	liidnimo
wick	liifad
slender	liifan
shake	liilliiji
lime	liimo
lemonade	liimonaato
grapefruit	liimo-ugunji
orange	liimoxaali
orange	liin-macaan
grapefruit	liin-ugunji
orange	liinxaali
wobble	liiqliiqo
list	liis
aim	liishaan
menu	liiska cuntada
liter	liitir
joking	likaaco
mushroom	like
insincerity	lillaahiddarro
Godfearingness	lillaahinnimo
cultivated	liman
cultivate	lin
swallow	liq
swallow	liqdin
swallowing	liqid
swallow	liqmo
sharpen	lis
whetstone	lise
Liechtenstein	Lishtanistaan
whetstone	lisin
liter	litir
six	lix
strength	lixaad
sixth	lixaad
sixty	lixdan
sixtieth	lixdanaad
cattle	lo'
logarithm	logardam
buffalo	lo'gisi
oyster	lohod
herdsman	lo'jir
cattleowner	lo'le
bent	loodsan
squanderer	loofar
logic	loojika
whetstone	lool
sharpen	looli
struggle	loollan
rival	looltamayaa
rival	looltan
sharpened	looshan
employer	loo-shaqeeye
unrest	looyaan
Lesotho	Losooto
knee	low
Lebanon	Lubnaan
round	lucuuman
sphere	lucuun
flesh	lud
collect	luf
remains	lufluf
foot	lug
forelegs	lugaha hore
walk	lugee
intervene	luggeli
intervention	luggelis
chicken	luki
kindling	lul
sleepiness	luleysnaan
drowsiness	lulmo
drowsiness	lulmood
sleepiness	lulo
drowsiness	lulood
lost	lunsan
embezzle	lunso
gargle	luqluqo
mouthful	luqmo
language	luqo
neck	luqun
trouble	lur
pester	lur
troubled	luran
agitation	lurnaan
Luke	Luukos
Lul	Luul
Lula	Luula
beauty	luuli
alley	luuq
language	luuqad
chant	luuqee
language	luuqo
materialist	maaddi
materialism	maaddiyad
comedy	maadeys
witty	maadleh
want	maag
circle	maageer
except	maahane
proverb	maahmaah
deficient	maahsan
pus	maal
milk	maal
milked	maalan
Malta	Maalda
Maldives	Maaldiqeen
rubber	maaleeyo
investment	maalgelin
lend	maali
Mali	Maali
day	maalin
daytime	maalinnimo
wealth	maaliyad
nowadays	maalmahan
importing	maalsoodejin
organize	maammul
managed	maammulan
administrator	maammule
tending	maamul
manager	maamuliye
respect	maamuus
mind	maan
forbid	maanac
daughter	maandha
misunderstanding	maandhaaf
son	maandhe
intoxication	maandoorin
drunk	maandoorsan
stupid	maangaaban
stupidity	maangaabi
poet	maansayahan
poem	maanso
today	maanta
stupid	maanyar
sea	maanyo
amusement	maararrow
rusted	maaraysan
rust	maaree
manager	maareeye
Marxism	Maarkisim
Marxism	Maarkisiyad
ability	maaro
rust	maaroob
leather	maas
matter	maatar
dependents	maati
entertain	maaweeli
entertainment	maaweelo
voltage	maayadda danabka
institutes	macaahid
customer	macaamil
sweet	macaan
sweetness	macaanaan
sweeten	macaanee
sweetener	macaanshe
help	macaawino
thin	macaluushan
obstinate	macangag
obstinacy	macangagnimo
knowledge	macarifad
leavetaking	macasalaameys
leave	macasalaamo
crucifix	macatab
mineral	macdan
sweeten	macee
sweetie	maceey
institute	machad
aid	maciin
harshness	maciinla'aan
sweets	macmacaan
serious	macna leh
explain	macnee
exhibition	macrad
knowledge	macrifo
acquaintance	macriifo
acquaintance	macruuf
meeting	macshar
adulteress	macsiley
entertain	madaddaali
entertainment	madaddaalin
entertainment	madaddaalo
amused	madaddaalsan
postpone	madal
black	madaw
authority	madax
stubborn	madax-adag
stubbornness	madax-adayg
overhead	madaxakorkiis
independence	madaxbannaani
leadership	madaxnimo
leadership	madaxtinnimo
dizziness	madaxwareer
president	madaxweyne
headache	madax-xanuun
brandingiron	maddane
cannon	madfac
optimum	madhaafaan
empty	madhan
empty	madhi
immortality	madhintannimo
servant	madiidin
Medina	Madiina
postpone	madli
postponement	madlin
sad	madluunsan
black	madmadow
blackness	madoobaan
blacky	madoobe
blacken	madoobee
school	madrasad
school	madraso
keys	mafaatix
papaya	mafafaay
broom	mafiiq
citystate	magaalaqaran
town	magaalo
nomination	magacaabid
diagnosis	magac-cudur
famous	magacdheer
fame	magacdheeri
name	magacsii
tanned	magdeysan
compensation	magdhaw
microphone	maggarafoon
grave	magguur
dagger	magli
magnesium	magniisiyam
Magol	Magool
thanks	mahad
thank	mahadceli
thank	mahadi
thank	mahadnaq
thanks	mahadsanid
infants	mahayammoog
thank	mahdi
desire	maho
festival	mahrajaan
necessity	mahuraan
joke	majaajillee
joke	majaajillo
joke	majaajillow
magazine	majallad
spade	majarafad
leader	majarahaye
deviate	majiir
limb	majin
limbs	majo
pagan	majuusi
Mecca	Maka
wellframe	makaab
Michael	Makaahiil
place	makaan
mechanic	makaanig
amulet	makaraan
microphone	makarafoon
storage	makhaasiin
restaurant	makhaayo
creation	makhluuq
warehouse	makhsin
mechanisation	makiinadays
typewriter	makiinadda farta
photocopier	makiinadda masawirka
typewriter	makiinadda qoraalka
camera	makiinadda sawirka
typist	makiinadqore
Mecca	Mako
estimate	mala-abbaar
guess	mala-abbaar
king	malaakh
honey	malab
manna	malabcir
perhaps	malaha
pus	malax
foul	malaxaysan
suppurate	malaxayso
school	malcaamad
villainy	malcuunnimo
hidden	maldahan
concealment	maldahnaan
thought	male
foresee	maleewaal
conception	maleeyn
king	malig
sole	maliiqan
decrepit	maliishan
queen	malikad
stretch	maljiid
stretched	maljiidan
passage	malko
fish	mallaay
myrrh	malmal
marmalade	malmalaaddo
marmalade	malmalaato
thought	malo
million	malyan
Malyun	Malyuun
prohibit	mamnuuc
prohibited	mamnuucan
bud	man
benefit	manaafacaad
sack	mandad
placenta	mandheer
benefit	manfac
manganese	manganiis
sperm	mani
manifest	manifesti
feet	manjo
scissors	manqas
offspring	manqo
vomit	mantag
rumor	maqaale
bridle	maqaame
rank	maqaan
skin	maqaar
warehouse	maqaasiin
elders	maqaawiir
restaurant	maqaaxi
restaurant	maqaayad
restaurant	maqaayo
head	maqaddin
hear	maqal
absentee	maqane
scissors	maqas
saute	maqlee
listening	maqlid
magnetism	maqnaaddiis
absence	maqnaan
storehouse	maqsin
satisfaction	maqsuud
distribute	maquuni
immersed	maquursan
time	mar
roll	maraabo
pasture	maraac
stroke	maraaci
ships	maraakiib
economize	maradhaari
economy	maradhaaro
testify	maragfur
witness	marag-kac
strangled	maragsan
always	mar alla
empty	maran
wife	maranti
broth	maraq
times	marar
often	marar badan
pastime	mararrow
ploughshare	marashi
emptiness	marasho
fan	marawaxad
fan	marawaxadi
fan	marawaxo
elegance	mardaaddi
cheat	mardabee
betrayal	mardabo
cheat	mardaddabaanley
cheat	mardaddabaanlow
again	mar dambe
soon	mar dhow
line	mardin
route	mareen
America	Mareykan
choked	margan
strangle	margi
once	mar haddii
already	mar hore
now	marka
if	marka
then	markaa
then	markaas
ship	markab
submarine	markabka badda quusa
warship	markabka dagaalka
submarine	markabka quusa biyaha hoostooda
then	mar kaddib
again	mar kale
testify	markhaatifur
when	markii
twice	mar labaad
when	marma
marble	marmar
sometimes	marmar
sometimes	mar mar
frequently	marmar badan
twisted	marmaroorsan
excuse	marmarsiino
excuse	marmarsimo
emptiness	marnaan
elephant	maroodi
elephantiasis	maroodiyow
crookedness	maroog
tangle	maroogsanow
twist	marooji
Morocco	Marooko
crookedness	marooq
twisted	marooqsan
twisting	maroorin
crooked	maroorsan
crookedness	maroorsanaan
witness	marqaati
emptiness	marraan
clothes	marriin
passage	marriin
march	marshee
status	martabad
host	martiggeli
always	mar walba
fan	marwaxo
Mary	Maryan
snake	mas
traveler	masaafir
exile	masaafiri
deported	masaafirsan
travel	masaafur
mosque	masaajid
forgive	masaamax
forgiven	masaamaxan
industries	masaanic
ax	masaar
expenses	masaariif
area	masaaxad
question	mas'alo
Egypt	Masar
snakes	masas
photograph	masawir
photographer	masawirle
jealous	masayrsan
ruler	masdarad
equal	mase
jealousy	maseyr
problems	mashaakil
projects	mashaariic
confused	mashaqaysan
lazybones	mashaqayste
confusion	mashaqo
gutter	masharaaf
machine	mashiin
busy	mashquul
project	mashruuc
ululate	mashxarad
ululation	mashxarad
Christianity	Masiixinnimo
example	masil
mosque	masjid
respect	maskab
unwise	maskax la'
intelligent	maskax leh
expense	maskharo
reconcile	maslax
reconciliation	maslexaad
snake	maso
lantern	masrad
disaster	masuubo
miser	masuuge
miserliness	masuugnimo
responsibility	masuuliyad
responsibility	mas'uuliyad
example	mataal
twins	mataano
vomit	matag
example	matil
brick	matooni
motor	matoor
jar	maw
death	mawd
never	ma ... weli
Mauritania	Mawriitaaniya
what	maxaa
since	maxaawacay
because	maxaayeelay
love	maxabbo
womb	maxal
Mohammed	Maxamed
Mohammud	Maxamuud
why	maxay ... u
prisoner	maxbuus
waist	maxog
no	may
no	maya
wash	maydho
mile	mayl
Maymun	Maymuun
Maymoona	Maymuuna
washed	mayran
washing	mayrasho
bathe	mayro
Mead	Meecaad
circuit	meegaar
circular	meegaarsan
expectation	meehaalad
expect	meehaalo
place	meel
about	meelahaas
placed	meelaysan
moderation	meel dhexaadnimo
center	meeldhexe
preposition	meeleeye
error	meelkadhac
everywhere	meel kasta
temporary	meel ku gaar
nowhere	meelna
everywhere	meel walba
planet	meere
lesson	meeris
mercury	meerkuri
whirlpool	meermeerto
round	meersan
here	meeshaan
there	meeshaas
here	meeshatan
where	meeshee
here	meetan
megawatt	megawaad
tanned	megdeysan
profession	meherad
marriage	mehersad
Mexico	Meksiko
strangling	mereg
strangled	meregsan
choking	mergasho
tendons	mergi
millet	meseggo
example	metel
corpse	meyd
color	midab
colored	midabaysan
colorful	midab-badan
racism	midabkalasooc
unification	midayn
knife	middi
scalpel	middida qalliinka
unite	midee
unitary	mideed
united	mideysan
unite	mideysii
handshake	midigsaar
everyone	midkasta
unity	midnimo
anyone	mid uun
key	miftaax
profession	mihnad
nectar	miid
exile	miidaamo
just	miidhan
sturdiness	miigganaan
expectation	miihaalad
strangled	miijisan
mile	miil
turn	miile
millimeter	miilimitir
mined	miinaysan
minelayer	miinodhige
minesweeper	miinoxaaqe
sawfish	miinshaar
filter	miir
filtration	miirad
filtered	miiran
entirely	miiran
filter	miire
budget	miisaaniyad
budgeting	miisaaniyaddhig
table	miisad
saw	miishaaree
microscope	mikoroskoob
microphone	mikrofon
microbe	mikroob
time	milay
solvent	mile
fishnet	milgo
glance	milicsi
military	militeri
faith	millad
milliliter	millilitir
millimeter	millimitir
salt	milxi
million	milyuun
lady	mimsaab
each	min
house	minan
probably	mindhaa
viscera	mindhicir
knife	mindi
razor	mindiil
broom	minfiiq
suspect	minfilaad
anniversary	minguuro
blessing	minno
semen	mino
harvest	miragoosasho
harvest	miragooy
rust	miridh
disappear	miriq
rust	mirir
rusted	mirirsan
strangle	mirji
mosque	misaajid
example	misaal
again	misana
lantern	misbaax
either	mise
porridge	mishaari
machine	mishiin
musk	miski
again	misna
economize	mitami
thrift	mitan
problem	mixnad
problem	mixno
consciousness	miyir
unconscious	miyirla'
careful	miyirleh
desire	mohasho
monopoly	monobooli
think	mood
assumption	mooddo
style	moodo
modulation	moodulaashoon
ignorant	moog
time	moog
hotness	moomah
Monaco	Moonako
pen	mooro
banana	moos
dammed	moosan
monsoon	moosin
Moscow	Moosko
dead	mootan
deadness	mootanaan
motorcycle	mooto
except	mooyaane
pommel	moqotin
morale	moraal
motor	motoor
launch	motoskaf
death	mowd
talent	mowhibo
position	mowqif
Mohammed	Moxamed
cassava	moxoggo
plant	moxor
Boswelliasp	moxor
plot	mu'aamaraad
author	mu'allif
founder	mu'asas
antagonism	mucaaradnimo
help	mucaawino
craving	mucurti
awl	mudac
pierced	mudan
argument	muddac
defendant	muddac-calayhi
plaintiff	muddaci
obliging	muddeec
obligingness	muddeecnimo
plaintiff	muddici
obliging	muddiic
injection	mudnaan
deserve	mudo
immorality	mufsidnimo
now	mugga
desire	muhasho
task	muhimmad
importance	muhimnimo
important	muhimsan
limb	mujin
criminal	mujrim
drugs	mukhaaddaraad
devotion	mukhlisnimo
Muktar	Mukhtaar
cat	mukulaal
caprice	mukur
capricious	mukur leh
untidy	mulaaqan
baby	muluq
atheist	mulxid
hypocrite	munaafiq
occasion	munaasabad
sin	munkar
drugs	muqaaddaraad
oar	muqdaaf
oarsman	muqdaafiye
jerked	muqmadaysan
toilet	muqsul
allot	muquuni
review	muraajaco
ecstasy	muraaqo
shock	muraaradillaac
argument	muran
dispute	muran
sprain	murgucasho
sprain	murguco
coral	murjaan
worry	murji
infant	murjuq
sprain	murkucad
mercury	murkuuri
argument	murmid
apostasy	murtadnimo
crumbs	murug
sad	murugaysan
anxiety	murugo
worry	murugood
tangled	murugsan
forefinger	murugsato
labor	muruqmaal
stripped	muruxsan
strip	murxi
pest	musallad
bankrupt	musallifsan
author	musannif
shock	musaraar
salary	mushaar
pension	mushaar hawlgab
stroll	mushaax
problem	mushkilad
polytheist	mushrig
plaintiff	mushtaki
Moslem	Muslin
nailed	musmaaran
latrine	musqul
colony	mustacmarad
colonization	mustacmir
Mustafa	Mustafa
future	mustaqbal
happiness	mustareex
corruption	musuqmaasuq
shock	musuraar
worthy	mutaysan
deserve	mutayso
stripped	mutuxan
miser	muudal
Mooday	Muuddey
aspect	muug
Mona	Muuna
sample	muunad badeecadeed
honor	muunee
appearance	muuq
appearance	muuqaal
suck	muurmuurso
razor	muus
smile	muusaab
moan	muusannaab
Moses	Muuse
music	muusika
music	muusiqa
smile	muusood
citizen	muwaaddin
agreement	muwaafaqo
love	muxubbo
hey	naa
club	naadi
incapacitate	naafee
womanhood	naagnimo
representative	naa'ib
sailor	naakhude
shortage	naaqis
troublemaker	naar-afuuf
Nauru	Naaro
bra	naasacelis
think	naawil
fatten	naaxi
vegetation	nabaad
napalm	nabaalam
goodbye	nabaday
safety	nabadbax
save	nabadbixi
warmonger	nabaddiid
security	nabadgelyo
Goodbye	nabadgelyo
wound	nabar
time	nabar
greeting	nabdaad
welcome	nabdaaddi
greeting	nabdaaddi
welcome	nabdaadi
well	nabdoon
wounded	nabran
slander	nabyo
hate	nac
hate	nac
curse	nacalad
fool	nacas
foolishness	nacasnimo
hatred	nacayb
hatred	nacdiir
nourishment	nacfi
Naima	Naciimo
curse	naclad
sweets	nacnac
chatter	nacnaclee
cleanliness	nadaafo
whip	nadi
Nadifa	Nadiifa
cleanliness	nadiifnimo
clean	nadiifsan
whip	nadiyee
bend	nadooci
bent	nadoocsan
bentness	nadoocsanaan
advantage	nafac
malnutrition	nafaqaxumo
feed	nafaqee
malnutrition	nafaqodarro
benefit	nafci
Nafisa	Nafiso
self	naftir
shrub	nagaar
carpenter	najaar
uncleanness	najaaso
datepalm	nakhil
electrification	nalbixin
number	nambar
Namibia	Namiibiya
troublemaker	namiim
candy	nanac
cash	naqad
duplicate	naqal
decoration	naqash
cash	naqdi
copy	naqil
decoration	naqshad
specifications	naqshadaha dhismaha
decorate	naqshadee
draughtsman	naqshadyaqaan
repetition	naqtiin
Christians	Nasaaro
nobility	nasabnimo
rest	nasad
transformed	nasakhan
resting	nasan
consultant	naseex
advice	naseexo
widespread	nashiran
unfortunate	nasiibdaran
lucky	nasiib leh
pause	nasiino
restfulness	nasnaan
Nasra	Nasra
Christian	Nasraani
success	nasri
easygoing	nastahan
advice	nasteexo
Nasteho	Nasteexo
result	natiijo
error	naxli
frightened	naxsan
weaken	naxuus
weaken	naxuusi
grammar	naxwe
hope	nayaayiso
nitrogen	nayitaroojiin
Nigeria	Nayjeeriya
lamb	nayl
nylon	nayloon
nickname	naynaas
hatred	nebcaan
hate	nebcayso
whale	neberi
prophet	nebi
prophethood	nebinnimo
hate	necbayso
inflating	neefayn
inflate	neefee
pant	neefgur
resuscitation	neefsiin
pant	neeftuur
nickname	neenaas
permanence	negaadi
impurity	nejis
whale	nibiri
hatred	nicid
prosperous	nicmeysan
resource	nicmo
confusion	nidaamdarro
organize	nidaami
disorder	nidaamla'aan
wellorganized	nidaamsan
oath	nidar
vow	nidir
hypocrisy	nifaaq
attached	niiban
nickel	niikel
carpenter	nijaar
impurity	nijaaso
Nicaragua	Nikaraaguwa
nicotine	nikotiin
men	niman
prosperous	nimcaysan
Nima	Nimco
number	nimrad
spokesman	ninka u hadley
manhood	ninnimo
stumble	nitaaqow
mind	niyad
depression	niyadjab
frustrate	niyadjebi
sadness	niyadxumo
uneasiness	niyakac
intend	niyeyso
desire	niyood
neutron	niyuutaroon
blaze	noh
biology	nololaqoon
type	nooc
diversify	noocee
fatigue	noog
tired	nooggan
alive	nool
livestock	nool
life	noolaad
living	nooli
fare	nooli
return	noqod
lengthen	nud
softness	nugeyl
softness	nuglaan
character	nuguur
copy	nuqul
season	nur
half	nus
break	nusasaace
absorbed	nuugan
suckling	nuugmo
suckle	nuuji
murmur	nuunaas
light	nuur
Nur	Nuur
Nuradin	Nuuradiin
Nura	Nuuro
Noah	Nuux
wobbling	nuuxnuuxsasho
jiggling	nuuxnuuxsi
wobble	nuuxnuuxso
wobbling	nuuxsasho
wobble	nuuxso
whisper	nuxnux
whisper	nuxnuxlee
nourishment	nuxrur
nourishment	nuxur
Nuhur	Nuxur
weaken	nuxuusi
prediction	oddoros
forecast	oddoroso
knowledge	ogaal
knowledge	ogaansho
announcing	ogaysiin
expert	ogeys
notice	ogeysiis
agreement	oggolaan
agreement	oggolaansho
admission	oggolaasho
neighboring	ogog leh
oxygen	ogsajiin
oxide	ogsaydh
knowing	ogsoon
know	ogsoonow
obliging	okobban
obligingness	okobbanaan
flame	olol
flame	olol
burning	ololid
inflamed	ololsan
Olympic	Olombig
thunder	onkod
thunder	onkod
decay	ontor
and	oo
all	oo dhan
commandos	oofato
drive	oog
anatomy	ooga-aqoon
blazing	oogan
crying	oohin
such	oo kale
eyeglasses	ookiyaale
steam	oomaar
Oomar	Oomaar
evaporation	oomaarbaxsi
food	oomati
diabetes	oomiye
thirsty	oomman
thirst	oon
wife	oori
brotherinlaw	ooryo-walaal
cry	ooy
knowledge	oqoon
acknowledgement	oqoonsasho
cloth	or
word	oraah
ordinate	ordinayt
billy	orgi
say	oro
run	orod
speedometer	orodbeege
word	oroh
orthography	ortografiyo
orientation	oryantayshan
October	Otoobar
reception	qaabbilaad
mess	qaabdarro
beautiful	qaabsan
formula	qaab sugan
disorder	qaabxumo
smoke	qaac
capacity	qaad
examination	qaadaadhig
insane	qaaddan
judge	qaaddi
ladle	qaaddo
caravan	qaafilo
rhythm	qaafiyad
leaders	qaafo
Cairo	Qaahira
majority	qaalib
Ghalib	Qaalib
expensiveness	qaalinimo
expensive	qaalisan
judge	qaalli
debts	qaaman
indebted	qaameysan
mumps	qaamoqashiir
debt	qaan
indebtedness	qaangal
archers	qaansaley
creditor	qaansheegte
rainbow	qaanso-robaad
cudgel	qaar
expense	qaaraamo
continent	qaarad
club	qaare
beat	qaaree
killer	qaatil
volume	qaatin
naked	qaawan
nakedness	qaawanaan
bronchitis	qaaxo
list	qaayimo
importance	qaayo
important	qaayo leh
